County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Howard,13-0608,Prekindergarten,Stevens Forest Elementary,Columbia,21045,Yes,0,,,,,,Oct 26 2021,,,
Howard,13-0609,Prekindergarten,Talbott Springs Elementary,Columbia,21045,Yes,0,,,,,,Apr 10 2020,,,
Howard,13-0613,Prekindergarten,Jeffers Hill Elementary,Columbia,21045,Yes,0,,,,,,Oct 26 2021,,,
Kent,14-0105,Prekindergarten,Galena Elementary School,Galena,21635,Yes,3,,,,,,Oct 25 2022,,,
Kent,14-0504,Prekindergarten,Rock Hall Elementary,Rock Hall,21661,Yes,3,,,,,,Oct 25 2022,,,
Montgomery,15-0556,Prekindergarten,Mill Creek Towne Elementary,Rockville,20855,Yes,3,,,,,,Dec 07 2022,,,
Montgomery,15-0754,Prekindergarten,Takoma Park Elementary,Takoma Park,20912,Yes,3,,,,,,Mar 22 2022,,,
Prince George's,16-0211,Prekindergarten,Gladys Noon Spellman Elementary,Cheverly,20785,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-0607,Prekindergarten,Hillcrest Heights Elementary,Temple Hills,20748,Yes,3,,,,,,Oct 25 2022,,,
Prince George's,16-0633,Prekindergarten,Overlook Elementary,Temple Hills,20748,Yes,5,Active,5,1,Dec 16 2022,Dec 16 2023,May 05 2020,,,Maryland Accreditation (MSDE) 2025-06-30
Prince George's,16-0640,Prekindergarten,Arrowhead Elementary,Upper Marlboro,20774,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-0648,Prekindergarten,Samuel P. Massie Academy,Forestville,20747,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-0706,Prekindergarten,Woodmore Elementary,Mitchellville,20721,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1009,Prekindergarten,Oaklands Elementary,Laurel,20708,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1208,Prekindergarten,Flintstone Elementary,Oxon Hill,20745,Yes,5,Active,5,1,Jun 01 2022,Jun 01 2023,Mar 11 2020,,,Maryland Accreditation (MSDE) 2025-05-31
Prince George's,16-1218,Prekindergarten,Valley View Elementary,Oxon Hill,20745,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1219,Prekindergarten,Barnaby Manor Elementary,Oxon Hill,20745,Yes,4,Active,4,1,Feb 08 2022,Feb 08 2023,Mar 11 2020,,,Maryland Accreditation (MSDE) 2025-05-31
Prince George's,16-1307,Prekindergarten,Highland Park Elementary,Landover,20785,Yes,0,,,,,,May 05 2020,,,
Prince George's,16-1310,Prekindergarten,Dodge Park Elementary,Landover,20785,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1333,Prekindergarten,Judge Sylvania W. Woods Sr. Elementary,Glenarden,20706,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1414,Prekindergarten,Catherine T. Reed Elementary,Lanham,20706,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1432,Prekindergarten,Rockledge Elementary,Bowie,20715,Yes,3,,,,,,Sep 22 2022,,,
Prince George's,16-1433,Prekindergarten,Chapel Forge Early Childhood Center,Bowie,20715,Yes,0,,,,,,Mar 11 2020,,,
Prince George's,16-1511,Prekindergarten,Marlton Elementary,Upper Marlboro,20772,Yes,3,,,,,,Sep 22 2022,,,
Prince George's,16-1518,Prekindergarten,Barack Obama Elementary,Upper Marlboro,20772,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1601,Prekindergarten,Hyattsville Elementary,Hyattsville,20781,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1703,Prekindergarten,Mt Rainier Elementary,Mt Rainier,20712,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1706,Prekindergarten,Thomas S. Stone Elementary,Mt Rainier,20712,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1816,Prekindergarten,John H. Bayne Elementary,Capitol Heights,20743,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1902,Prekindergarten,University Park Elementary,Hyattsville,20782,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-1907,Prekindergarten,Beacon Heights Elementary,Riverdale,20737,Yes,5,Active,5,1,Dec 15 2022,Dec 15 2023,Mar 11 2020,,,Maryland Accreditation (MSDE) 2025-06-30
Prince George's,16-2007,Prekindergarten,Woodridge Elementary,Hyattsville,20784,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-2014,Prekindergarten,Lamont Elementary,New Carrollton,20784,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-2107,Prekindergarten,Hollywood Elementary,College Park,20740,Yes,3,,,,,,Aug 30 2022,,,
Prince George's,16-2113,Prekindergarten,Springhill Lake Elementary,Greenbelt,20770,Yes,3,,,,,,Aug 30 2022,,,
Queen Anne's,17-0308,Prekindergarten,Centreville Elementary School,Centreville,21617,Yes,3,,,,,,Dec 07 2022,,,
Queen Anne's,17-0402,Prekindergarten,Kent Island Elementary School,Stevensville,21666,Yes,3,,,,,,Nov 22 2022,,,
Queen Anne's,17-0406,Prekindergarten,Matapeake Elementary School,Stevensville,21666,Yes,3,,,,,,Sep 30 2022,,,
Queen Anne's,17-0503,Prekindergarten,Grasonville Elementary School,Grasonville,21638,Yes,3,,,,,,Sep 30 2022,,,
Saint Mary's,18-0104,Prekindergarten,Ridge Elementary,Ridge,20680,Yes,3,,,,,,Dec 07 2022,,,
Saint Mary's,18-0301,Prekindergarten,Leonardtown Elementary,Leonardtown,20650,Yes,3,,,,,,Dec 07 2022,,,
Saint Mary's,18-0302,Prekindergarten,Benjamin Banneker Elementary,Loveville,20656,Yes,3,,,,,,Dec 07 2022,,,
Saint Mary's,18-0308,Prekindergarten,Captain Walter Francis Duke Elementary,Leonardtown,20650,Yes,3,,,,,,Dec 07 2022,,,
Saint Mary's,18-0602,Prekindergarten,Oakville Elementary,Mechanicsville,20659,Yes,3,,,,,,Nov 08 2022,,,
Saint Mary's,18-0604,Prekindergarten,Hollywood Elementary,Hollywood,20636,Yes,3,,,,,,Dec 07 2022,,,
Saint Mary's,18-0702,Prekindergarten,Dynard Elementary,Chaptico,20621,Yes,3,,,,,,Dec 07 2022,,,
Saint Mary's,18-0804,Prekindergarten,Lexington Park Elementary,Lexington Park,20653,Yes,3,,,,,,Dec 07 2022,,,
Saint Mary's,18-0806,Prekindergarten,Town Creek Elementary,Lexington Park,20653,Yes,3,,,,,,Nov 08 2022,,,
Saint Mary's,18-0810,Prekindergarten,Greenview Knolls Elementary,Great Mills,20634,Yes,3,,,,,,Dec 07 2022,,,
Washington,21-0305,Prekindergarten,Washington County Technical High,Hagerstown,21740,Yes,3,,,,,,Nov 21 2022,,,
Washington,21-2505,Prekindergarten,Marshall Street School,Hagerstown,21740,Yes,3,,,,,,Dec 07 2022,,,
Wicomico,22-0106,Prekindergarten,Northwestern Elementary,Mardela Springs,21837,Yes,5,Active,5,1,Jun 21 2022,Jun 21 2023,Apr 27 2020,,,Maryland Accreditation (MSDE) 2025-06-30
Wicomico,22-1103,Prekindergarten,Delmar Elementary,Delmar,21875,Yes,5,Active,5,1,May 27 2022,May 27 2023,Apr 13 2021,,,Maryland Accreditation (MSDE) 2025-05-31
Worcester,23-0102,Prekindergarten,Pocomoke Elementary,Pocomoke City,21851,Yes,5,Active,5,1,Apr 26 2022,Apr 26 2023,Apr 03 2020,Accredited Program 2025-04-30,,Maryland Accreditation (MSDE) 2025-04-30
Worcester,23-1001,Prekindergarten,Ocean City Elementary,Ocean City,21842,Yes,5,Active,5,1,Jun 29 2022,Jun 29 2023,Oct 12 2021,,,Maryland Accreditation (MSDE) 2025-06-30
Baltimore City,30-0134,Prekindergarten,Walter P. Carter Elementary/Middle,Baltimore,21212,Yes,3,,,,,,Dec 19 2022,,,
Baltimore City,30-0144,Prekindergarten,Billie Holiday Elementary,Baltimore,21216,Yes,3,,,,,,Dec 19 2022,,,
Charles,255985,Family Childcare,Georgia Norman,Waldorf,20602,Yes,1,Active,1,2,Nov 21 2022,Nov 21 2023,Dec 04 2019,,,
Baltimore City,255987,Center,Fitness Fun & Games at Archbishop Borders,Baltimore,21224,Yes,3,Active,3,2,Jul 13 2022,Jul 13 2023,Jan 29 2020,,,
Prince George's,255983,Family Childcare,Samantha Palmore,District Heights,20747,Yes,0,Inactive,1,2,Dec 07 2021,Dec 07 2022,Dec 04 2019,,,No Additional Staff
Anne Arundel,255982,Family Childcare,Chelsey Ries,Pasadena,21122,Yes,0,,,,,,Nov 30 2021,,,
Baltimore,259200,Family Childcare,Mollie Gutridge,Essex,21221,Yes,1,Active,1,2,Jun 17 2022,Jun 17 2023,Aug 25 2020,,,
Baltimore,255994,Center,Excellent Start Learning Center-Windsor Mill,Baltimore,21244,Yes,5,Active,5,3,Nov 01 2022,Nov 01 2023,Dec 17 2019,Eco-Friendly Program 2023-10-27,,NECPA 2025-02-28
Montgomery,256005,Family Childcare,Manjula Gunawardana,Silver Spring,20902,Yes,1,Active,1,2,Feb 09 2022,Feb 09 2023,Jan 08 2020,,,
Anne Arundel,256006,Family Childcare,Gwendolyn Gross,Annapolis,21403,Yes,1,Active,1,2,Nov 21 2022,Nov 21 2023,Dec 04 2019,,,
Baltimore City,256009,Family Childcare,Linda Robeson,Baltimore,21206,Yes,1,Active,1,2,Aug 09 2022,Aug 09 2023,Jan 29 2020,,,No Additional Staff
Montgomery,256008,Family Childcare,Baljeet Saran,Clarksburg,20871,Yes,1,Active,1,2,Jun 15 2022,Jun 15 2023,Dec 04 2019,,,
Howard,256007,Family Childcare,Jessica Taukulis,Laurel,20723,Yes,0,,,,,,Jan 08 2020,,,
Prince George's,256011,Center,Kids Creations Child Development Center,Suitland,20746,Yes,1,Active,1,3,Jan 06 2022,Jan 06 2023,Dec 17 2019,,,
Montgomery,256024,Large Family Childcare,Celine Cedeno,Silver Spring,20905,Yes,0,,,,,,Jan 08 2020,,,
Baltimore,256023,Family Childcare,Crystal Briley,Gwynn Oak,21207,Yes,1,Active,1,2,Nov 29 2022,Nov 29 2023,Dec 17 2019,,,
Montgomery,256027,Family Childcare,Elis Cecchetti-Molina,Silver Spring,20902,Yes,0,,,,,,Mar 08 2022,,,
Howard,256022,Family Childcare,Rachylle McGee,Columbia,21044,Yes,0,,,,,,Mar 08 2022,,,
Frederick,256012,Family Childcare,Andrea Taylor,Brunswick,21716,Yes,0,,,,,,Jan 08 2020,,,
Howard,256041,Family Childcare,Shamsa Khan,Jessup,20794,Yes,0,,,,,,Mar 11 2020,,,
Baltimore City,256042,Family Childcare,Iris Stewart,Baltimore,21239,Yes,3,Active,3,2,Oct 19 2022,Oct 19 2023,Dec 17 2019,,,No Additional Staff
Allegany,256044,Family Childcare,Siobhan Lewis-Roach,Frostburg,21532,Yes,3,Active,3,2,Jul 29 2022,Jul 29 2023,Jan 08 2020,,,No Additional Staff
Carroll,256062,Center,Coppermine 4 Seasons,Hampstead,21074,Yes,1,Active,1,2,Jan 27 2022,Jan 27 2023,Mar 25 2020,,,
Montgomery,256063,Large Family Childcare,Washington Chavez,Rockville,20855,Yes,1,Active,1,2,Nov 23 2022,Nov 23 2023,Jan 08 2020,,,
Prince George's,256064,Family Childcare,LaKisha Thomas,Hyattsville,20785,Yes,1,Active,1,2,Apr 20 2022,Apr 20 2023,Jan 08 2020,,,No Additional Staff
Baltimore,256068,Family Childcare,Deneque Briggs,Randallstown,21133,Yes,1,Active,1,2,Aug 15 2022,Aug 15 2023,Feb 26 2020,,,
Charles,256067,Center,Little Angels Learning Center II,Waldorf,20602,Yes,3,Active,3,3,Oct 31 2022,Oct 31 2023,Jan 08 2020,,,
Prince George's,256080,Family Childcare,Rebecca Thompson,Bowie,20721,Yes,1,Active,1,2,Mar 29 2022,Mar 29 2023,Feb 23 2021,,,No Additional Staff
Caroline,256086,Family Childcare,Manoucheca Jean,Federalsburg,21632,Yes,1,Active,1,2,Mar 21 2022,Mar 21 2023,Jan 08 2020,,,No Additional Staff
Charles,256087,Family Childcare,Ayana Holt,Waldorf,20603,Yes,1,Active,1,2,Aug 17 2022,Aug 17 2023,Feb 12 2020,,,
Baltimore City,256101,Family Childcare,Sharon Hicks,Baltimore,21216,Yes,3,Active,3,2,Oct 14 2022,Oct 14 2023,Jan 08 2020,,,No Additional Staff
Frederick,256123,Family Childcare,Rabia Ali,Frederick,21703,Yes,0,,,,,,Feb 12 2020,,,
Montgomery,256142,Family Childcare,Masu Koraganie,Clarksburg,20871,Yes,1,Active,1,2,Aug 08 2022,Aug 08 2023,Feb 26 2020,,,
Anne Arundel,256140,Family Childcare,Jovan Brown,Annapolis,21401,Yes,1,Active,1,2,Aug 11 2022,Aug 11 2023,Jan 29 2020,,,
Montgomery,256143,Center,Shaare Torah Early Childhood Center,Gaithersburg,20878,Yes,1,Active,1,3,Sep 06 2022,Sep 06 2023,Feb 26 2020,,,
Harford,256152,Center,Grace Cooperative Nursery,Aberdeen,21001,Yes,0,,,,,,Mar 11 2020,,,
Garrett,256160,Large Family Childcare,Meggan Humberson,Accident,21520,Yes,3,Active,3,2,Sep 19 2022,Sep 19 2023,Jan 29 2020,,,
Baltimore,256162,Center,Drool of Rock-Owings Mills,Owings Mills,21117,Yes,1,Active,1,3,Nov 28 2022,Nov 28 2023,Jan 29 2020,,,
Cecil,256164,Center,The Learning Exchange Kids,Elkton,21921,Yes,1,Active,1,3,Feb 18 2022,Feb 18 2023,Feb 12 2020,,,
Prince George's,255995,Family Childcare,Rhea Dixon-Smith,Upper Marlboro,20772,Yes,1,Active,1,2,Jan 18 2022,Jan 18 2023,Jan 29 2020,,,No Additional Staff
Caroline,256182,Family Childcare,Jennifer Reals,Denton,21629,Yes,0,,,,,,Jun 02 2020,,,
Baltimore City,256181,Family Childcare,Shantel Floyd,Baltimore,21229,Yes,1,Active,1,2,Nov 08 2022,Nov 08 2023,Feb 26 2020,,,
Harford,256185,Family Childcare,Sierra Moore,Abingdon,21009,Yes,1,Active,1,2,Apr 04 2022,Apr 04 2023,Jan 29 2020,,,
Baltimore,256200,Family Childcare,Saima Faiz,Catonsville,21228,Yes,1,Active,1,2,Apr 06 2022,Apr 06 2023,Mar 11 2020,,,
Baltimore City,258387,Family Childcare,Kimberly Noakes,Baltimore,21223,Yes,1,Active,1,2,Jul 13 2022,Jul 13 2023,Feb 12 2020,,,
Prince George's,256206,Family Childcare,Muluwork Hurissa,Hyattsville,20782,Yes,0,,,,,,Aug 25 2020,,,
Baltimore City,256205,Center,Maryland Family Network - Dukeland Early Head Start,Baltimore,21216,Yes,2,Active,2,3,Jun 08 2022,Jun 08 2023,Jun 30 2020,,,
Prince George's,256215,Family Childcare,Witney Perkins,Upper Marlboro,20772,Yes,1,Active,1,2,Feb 09 2022,Feb 09 2023,Feb 12 2020,,,No Additional Staff
Baltimore,256223,Family Childcare,Lakeisha Jones,Catonsville,21228,Yes,1,Active,1,2,Sep 12 2022,Sep 12 2023,Apr 10 2020,,,No Additional Staff
Montgomery,256241,Family Childcare,Johanna Blandon Restrepo,Montgomery Village,20886,Yes,1,Active,1,2,Mar 31 2022,Mar 31 2023,Feb 26 2020,,,
Frederick,256246,Family Childcare,Nadia Foly,Frederick,21701,Yes,1,Active,1,2,May 11 2022,May 11 2023,Apr 10 2020,,,No Additional Staff
Prince George's,256247,Family Childcare,Coralia Liuzzi,Oxon Hill,20745,Yes,0,,,,,,Aug 25 2020,,,
Baltimore City,256249,Family Childcare,Dana Jefferson,Baltimore,21215,Yes,1,Active,1,2,Nov 30 2022,Nov 30 2023,Sep 22 2020,,,
Charles,256260,Center,Building Blocks ELC,Waldorf,20601,Yes,3,Active,3,3,Aug 23 2022,Aug 23 2023,Feb 26 2020,,,
Prince George's,256263,Center,"SKC Early Education Centers - Largo,LLC",Largo,20774,Yes,1,Active,1,3,Jul 13 2022,Jul 13 2023,Jul 28 2020,,,
Prince George's,256261,Center,Greenwood Early Learning Center,Hyattsville,20782,Yes,1,Active,1,3,Feb 16 2022,Feb 16 2023,Feb 26 2020,,,
Charles,256267,Family Childcare,Cynthia Dyson,Waldorf,20603,Yes,1,Active,1,2,Aug 18 2022,Aug 18 2023,Mar 23 2021,,,
Cecil,256265,Family Childcare,Bethany Kitts,Cecil,21921,Yes,0,,,,,,Jun 30 2020,,,
Baltimore,256264,Family Childcare,Misty Goines,Middle River,21220,Yes,0,Inactive,1,2,Nov 09 2021,Nov 09 2022,Feb 26 2020,,,
Saint Mary's,256268,Center,Young Movemints Childcare Center,Lexington Park,20653,Yes,1,Active,1,3,May 11 2022,May 11 2023,Mar 11 2020,,,
Montgomery,256284,Family Childcare,Azeb Teklay,Silver Spring,20904,Yes,0,,,,,,Jul 12 2022,,,
Anne Arundel,258261,Family Childcare,Nadine Barber,Annapolis,21409,Yes,1,Active,1,2,Feb 08 2022,Feb 08 2023,Mar 11 2020,,,No Additional Staff
Montgomery,256227,Center,Busy Bees FD LLC,Rockville,20850,Yes,2,Active,2,3,Nov 28 2022,Nov 28 2023,Mar 11 2020,,,
Baltimore,256303,Center,SSA HQs Child Development Center,Baltimore,21235,Yes,0,,,,,,Apr 23 2020,,,
Anne Arundel,256302,Center,Little Magic Garden,Jessup,20794,Yes,1,Active,1,3,Feb 23 2022,Feb 23 2023,Mar 11 2020,,,
Prince George's,256305,Family Childcare,Pamela Evans,Laurel,20707,Yes,1,Active,1,2,Apr 07 2022,Apr 07 2023,Mar 25 2020,,,No Additional Staff
Harford,256165,Family Childcare,Jessica Duncan,Bel Air,21014,Yes,2,Active,2,2,Aug 24 2022,Aug 24 2023,Jul 14 2020,,,No Additional Staff
Prince George's,256295,Center,Young World Childcare Center,Fort Washington,20744,Yes,1,Active,1,3,Apr 27 2022,Apr 27 2023,Mar 11 2020,,,
Howard,256307,Family Childcare,Jennifer Webster,Columbia,21045,Yes,0,,,,,,Mar 25 2020,,,
Frederick,256323,Family Childcare,Wuyah Johnson,Frederick,21702,Yes,1,Active,1,2,Apr 11 2022,Apr 11 2023,May 19 2020,,,No Additional Staff
Prince George's,256340,Family Childcare,Alice Ehinmidu,Bowie,20720,Yes,0,,,,,,Jun 30 2020,,,
Harford,256360,Family Childcare,Beverly David,Bel Air,21014,Yes,0,,,,,,Aug 25 2020,,,
Baltimore,256361,Family Childcare,Sandra McCoy Hewlett,Baltimore,21206,Yes,1,Active,1,2,Apr 20 2022,Apr 20 2023,May 19 2020,,,
Prince George's,256401,Family Childcare,Cristeen Kselman,Bowie,20715,Yes,0,Inactive,1,2,Nov 03 2020,Oct 05 2022,Apr 23 2020,,,
Anne Arundel,66934,Family Childcare,Deborah Gardner,Severna Park,21146,Yes,0,,,,,,Sep 28 2021,,,
Prince George's,256420,Family Childcare,Mayah Mckisset,Fort Washington,20744,Yes,1,Active,1,2,Oct 04 2022,Oct 04 2023,Oct 12 2021,,,
Montgomery,256443,Family Childcare,Sandra Nunez de Ubiera,Montgomery Village,20886,Yes,1,Active,1,2,Jan 12 2022,Jan 12 2023,Jun 30 2020,,,
Baltimore,255750,LOC,Rock Church Academy,Baltimore,21234,Yes,0,,,,,,Jan 25 2022,,,
Baltimore,41817,LOC,Reisterstown United Methodist Nursery School,Reisterstown,21136,Yes,0,,,,,,Jan 12 2022,,,
Allegany,157181,LOC,Bishop Walsh School - Preschool and Day Care,Cumberland,21502,Yes,1,Active,1,3,Sep 06 2022,Sep 06 2023,Jun 16 2020,,,
Montgomery,250956,LOC,St.Bartholomew School,Bethesda,20817,Yes,1,Active,1,3,Apr 26 2022,Apr 26 2023,Mar 09 2021,,,
Montgomery,156678,LOC,St. Mary's School After Care Program,Rockville,20852,Yes,0,,,,,,Aug 02 2022,,,
Baltimore City,256500,Center,All My Children Childcare Center@Baltimore Street,Baltimore,21223,Yes,0,,,,,,Aug 02 2022,,,
Prince George's,161816,LOC,St. Mary of the Assumption School,Upper Marlboro,20772,Yes,2,Active,2,3,Apr 06 2022,Apr 06 2023,Jul 14 2020,,,Cognia 2026-06-30
Montgomery,256540,Center,Primrose School of Downtown Bethesda,Bethesda,20814,Yes,0,,,,,,Nov 08 2022,,,
Montgomery,256520,Family Childcare,Anoopwattie Harriparshad,Silver Spring,20906,Yes,1,Active,1,2,Apr 04 2022,Apr 04 2023,Jan 12 2022,,,
Montgomery,100565,LOC,Mother of God Pre-K and Extended Care Program,Gaithersburg,20879,Yes,1,Active,1,3,Jun 24 2022,Jun 24 2023,Jul 14 2020,,,
Baltimore City,15356,LOC,Grace United Methodist Preschool,Baltimore,21210,Yes,1,Active,1,3,Oct 19 2022,Oct 19 2023,Dec 08 2020,,,
Prince George's,256582,Center,Happy Home Early Learning Center,Glenn Dale,20769,Yes,1,Active,1,3,May 31 2022,May 31 2023,Jul 28 2020,,,
Montgomery,256602,Center,Discovery Early Learning Center,Poolesville,20837,Yes,0,,,,,,Mar 23 2021,,,
Prince George's,256624,Family Childcare,Veronica Bryant,Laurel,20708,Yes,1,Active,1,2,Jul 29 2022,Jul 29 2023,Aug 25 2020,,,
Wicomico,256621,Family Childcare,Sara Batson,Mardela Springs,21837,Yes,0,,,,,,Nov 09 2021,,,
Howard,256623,Family Childcare,Melissa Van Deusen,Columbia,21044,Yes,1,Active,1,2,Apr 04 2022,Apr 04 2023,Jan 25 2022,,,
Saint Mary's,253063,LOC,"Father Andrew White, S.J. School",Leonardtown,20650,Yes,0,,,,,,Feb 23 2021,,,
Montgomery,256625,Family Childcare,Ivis Rosales,Germantown,20874,Yes,0,,,,,,Nov 17 2020,,,
Washington,256628,Family Childcare,Ashley Keefer,Hagerstown,21742,Yes,1,Active,1,2,Feb 16 2022,Feb 16 2023,Feb 23 2021,,,No Additional Staff
Harford,256629,Family Childcare,Heather Slaysman,Edgewood,21040,Yes,1,Active,1,2,Mar 09 2022,Mar 09 2023,Aug 11 2020,,,
Charles,256641,Family Childcare,Dionne Jones,Waldorf,20602,Yes,0,,,,,,Oct 06 2020,,,
Howard,256644,Center,Precious Ones @ Talbott Springs,Columbia,21045,Yes,1,Active,1,3,Nov 03 2022,Nov 03 2023,Sep 22 2020,,,
Frederick,256665,Family Childcare,Satwinder Singh,Frederick,21703,Yes,0,,,,,,Sep 08 2020,,,
Frederick,256664,Family Childcare,Sara Harding,Mount Airy,21771,Yes,0,,,,,,Sep 22 2020,,,
Anne Arundel,256663,Family Childcare,Taylor Lewis,Crofton,21114,Yes,1,Active,1,2,Jul 25 2022,Jul 25 2023,Aug 11 2020,,,No Additional Staff
Frederick,256680,Family Childcare,Jordan Coblentz,Middletown,21769,Yes,0,,,,,,Oct 20 2020,,,
Baltimore City,256684,Center,Life Prep Early Learning Center,Baltimore,21224,Yes,1,Active,1,3,Aug 24 2022,Aug 24 2023,Sep 08 2020,,,
Caroline,256683,Family Childcare,Megan Murphy,Denton,21629,Yes,0,,,,,,Oct 26 2021,,,
Queen Anne's,256686,Family Childcare,Amy Freeman,Centreville,21617,Yes,0,,,,,,Oct 20 2020,,,
Baltimore City,15358,LOC,Saint David's Day School,Baltimore,21210,Yes,1,Active,1,3,May 05 2022,May 05 2023,Aug 17 2021,,,
Frederick,256700,Family Childcare,Elaine Nicole Woody,Walkersville,21793,Yes,0,,,,,,Sep 08 2020,,,
Queen Anne's,256701,Family Childcare,Marsha Bramble,Millington,21651,Yes,2,Active,2,2,Mar 31 2022,Mar 31 2023,Dec 08 2020,,,No Additional Staff
Baltimore,256703,Family Childcare,Kayla Thomas,Baltimore,21206,Yes,0,,,,,,Jan 25 2022,,,
Baltimore,256706,Center,The Y Eastside Family Head Start Center,Rosedale,21237,Yes,2,Active,2,3,May 24 2022,May 24 2023,Sep 08 2020,,,
Washington,256720,Family Childcare,Nicole Shindle,Williamsport,21795,Yes,1,Active,1,2,Sep 30 2022,Sep 30 2023,Jan 25 2022,,,
Montgomery,256722,Family Childcare,Sara Tesfamicael,Bethesda,20817,Yes,1,Active,1,2,Jul 15 2022,Jul 15 2023,Sep 08 2020,,,
Baltimore City,256721,Center,Incubed Learning Center,Baltimore,21214,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Oct 06 2020,,,
Baltimore City,59054,LOC,Cardinal Shehan School CCC,Baltimore,21239,Yes,1,Active,1,3,Jan 10 2022,Jan 10 2023,Nov 17 2020,,,
Montgomery,258821,Large Family Childcare,Lanka Mudannayake,Kensington,20895,Yes,4,Active,4,2,Mar 16 2022,Mar 16 2023,Oct 06 2020,,,No Additional Staff  | NAFCC - National Association for Family Child Care 2025-07-01
Charles,256725,Family Childcare,Khadijah Robaina,Waldorf,20602,Yes,1,Active,1,2,Sep 09 2022,Sep 09 2023,Sep 08 2020,,,
Montgomery,37270,LOC,St. Bernadette Extended Day,Silver Spring,20901,Yes,1,Active,1,3,Aug 05 2022,Aug 05 2023,Feb 23 2021,,,
Montgomery,256741,Family Childcare,Sonia Lemus,Silver Spring,20901,Yes,1,Active,1,2,Apr 21 2022,Apr 21 2023,Apr 13 2021,,,
Anne Arundel,162893,LOC,Philippi Christian Preschool,Hanover,21076,Yes,1,Active,1,3,Nov 11 2022,Nov 11 2023,Nov 09 2021,,,
Garrett,256743,Center,Sacred Meadow LLC,Accident,21520,Yes,1,Active,1,3,Nov 03 2022,Nov 03 2023,Nov 17 2020,,,
Montgomery,256745,Family Childcare,Tarekua Haylegebereale,Silver Spring,20902,Yes,0,,,,,,Oct 20 2020,,,
Harford,256744,Family Childcare,Lindsey Smallidge,Jarrettsville,21084,Yes,1,Active,1,2,Jun 21 2022,Jun 21 2023,Jun 08 2021,,,
Howard,256747,Family Childcare,Elizabeth Vaughan,Ellicott City,21043,Yes,0,,,,,,Nov 21 2022,,,
Calvert,75876,LOC,Cardinal Hickey Academy Educare and Catholic Montessori Preschool,Owings,20736,Yes,1,Active,1,3,Mar 03 2022,Mar 03 2023,Mar 09 2021,,,
Talbot,256782,Center,The Lab Child Care Center,Easton,21601,Yes,1,Active,1,3,Sep 14 2022,Sep 14 2023,Sep 22 2020,,,
Carroll,256789,Family Childcare,Jennifer Ranney,Woodbine,21797,Yes,1,Active,1,2,Nov 30 2022,Nov 30 2023,Sep 22 2020,,,
Howard,256788,Center,Your Journey Nursery and Preschool,Glenwood,21738,Yes,0,,,,,,Jan 12 2022,,,
Carroll,256785,Center,Berry Patch ELC @ St. George's,Hampstead,21074,Yes,1,Active,1,2,Dec 27 2022,Dec 27 2023,Aug 17 2021,,,
Calvert,256802,Family Childcare,Aretha Johnson,Lusby,20657,Yes,0,,,,,,Oct 06 2020,,,
Howard,256804,Center,Idea Lab Kids Maryland,Columbia,21045,Yes,1,Active,1,2,Nov 28 2022,Nov 28 2023,Oct 20 2020,,,
Charles,256805,Family Childcare,Tenia Gilbert,Waldorf,20602,Yes,1,Active,1,2,Sep 15 2022,Sep 15 2023,Oct 06 2020,,,
Baltimore City,256807,Family Childcare,Darlene Ghee,Baltimore,21218,Yes,1,Active,1,2,Dec 07 2022,Dec 07 2023,Oct 06 2020,,,
Caroline,256810,Family Childcare,Jessica Mulford,Preston,21655,Yes,1,Active,1,2,Aug 22 2022,Aug 22 2023,Sep 22 2020,Health and Wellness,,No Additional Staff
Montgomery,256825,Family Childcare,Anny Gonzalez,Germantown,20874,Yes,3,Active,3,2,Mar 04 2022,Mar 04 2023,Oct 06 2020,,,No Additional Staff
Baltimore City,257380,Family Childcare,Robin Brayboy,Baltimore,21230,Yes,3,Active,3,2,Oct 03 2022,Oct 03 2023,Oct 06 2020,,,No Additional Staff
Harford,256829,Family Childcare,Jasmine Moseley,Edgewood,21040,Yes,1,Active,1,2,Dec 12 2022,Dec 12 2023,Oct 06 2020,,,No Additional Staff
