County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Carroll,84939,Center,Celebree Learning Centers- Mt Airy,Mount Airy,21771,Yes,1,Active,1,3,Oct 26 2022,Oct 26 2023,Mar 06 2015,,,MSDE
Prince George's,84810,Center,Apple Core Child Care Inc.,Forestville,20747,Yes,0,Inactive,1,3,May 01 2020,Apr 20 2022,May 29 2015,,,
Baltimore City,84425,Family Childcare,Shelly Mosley,Baltimore,21212,Yes,1,Active,1,2,Dec 27 2022,Dec 27 2023,Jul 14 2014,,,
Baltimore,84357,Family Childcare,Viola McCall,Baltimore,21234,Yes,3,Active,3,2,Jul 06 2022,Jul 06 2023,May 12 2014,,,No Additional Staff
Baltimore City,84277,Family Childcare,Celeste Joyner,Baltimore,21218,Yes,5,Active,5,2,Mar 21 2022,Mar 21 2023,Aug 22 2013,Quality Business Practices  | Health and Wellness  | Accredited Program 2023-01-23,National Association for Family Child Care (NAFCC) 2023-01-23,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2023-01-31
Baltimore City,83967,Family Childcare,Osie Hursey,Baltimore,21213,Yes,3,Active,3,2,Apr 22 2022,Apr 22 2023,Oct 11 2013,,,No Additional Staff
Montgomery,83778,Family Childcare,Martha Marquez,Takoma Park,20912,Yes,1,Active,1,2,Jan 27 2022,Jan 27 2023,Feb 10 2017,,,
Baltimore City,83519,Family Childcare,Deborah Chase,Baltimore,21229,Yes,1,Active,1,2,Jul 25 2022,Jul 25 2023,Aug 23 2014,,,
Saint Mary's,83370,Family Childcare,Sharon Hamlet,Great Mills,20634,Yes,1,Active,1,2,Dec 15 2022,Dec 15 2023,Jan 26 2016,,,No Additional Staff
Prince George's,82946,Center,College Park Community Center,College Park,20740,Yes,1,Active,1,2,Oct 18 2022,Oct 18 2023,Jun 26 2015,,,
Montgomery,82878,Family Childcare,Carmen Perlacios,Gaithersburg,20879,Yes,1,Active,1,2,Oct 31 2022,Oct 31 2023,Sep 20 2018,,,
Cecil,82475,Center,Jesus Loves Me Daycare,North East,21901,Yes,1,Active,1,3,Aug 25 2022,Aug 25 2023,Dec 16 2013,,,
Baltimore City,82466,Family Childcare,Olivia Pugh,Baltimore,21214,Yes,3,Active,3,2,Jul 21 2022,Jul 21 2023,Mar 11 2014,,,No Additional Staff
Frederick,82384,Center,Myersville Elementary Before and After School Enrichment,Myersville,21773,Yes,1,Active,1,2,Jul 21 2022,Jul 21 2023,Mar 11 2014,,,
Frederick,82375,Center,Whittier Elementary Before and After School Enrichment,Frederick,21702,Yes,2,Active,2,2,Apr 26 2022,Apr 26 2023,Mar 11 2014,,,
Wicomico,82301,Family Childcare,Gloria Smith,Salisbury,21801,Yes,1,Active,1,2,Nov 29 2022,Nov 29 2023,Jul 14 2014,,,
Anne Arundel,82017,LOC,St Andrew by the Bay Preschool,Annapolis,21401,Yes,1,Active,1,3,Aug 18 2022,Aug 18 2023,Oct 04 2014,,,
Frederick,81793,Center,Valley Elementary Before and After School Enrichment,Jefferson,21755,Yes,1,Active,1,2,Jan 25 2022,Jan 25 2023,Mar 11 2014,,,
Prince George's,81671,Center,Al Huda Preschool,College Park,20740,Yes,1,Active,1,3,Nov 29 2022,Nov 29 2023,Oct 04 2014,,,
Baltimore City,81544,Family Childcare,Belinda Fitzhugh,Baltimore,21229,Yes,1,Active,1,2,Sep 01 2022,Sep 01 2023,Dec 21 2014,,,
Cecil,81499,Family Childcare,Cynthia Edwards,North East,21901,Yes,3,Active,3,2,Mar 03 2022,Mar 03 2023,Nov 27 2012,,,NAFCC  | No Additional Staff
Montgomery,81491,Center,The Children in the Shoe E-W Towers,Bethesda,20814,Yes,3,Active,3,3,Sep 06 2022,Sep 06 2023,Jun 26 2015,Accredited Program,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,81469,Center,YMCA at Rippling Woods ES,Glen Burnie,21061,Yes,2,Active,2,2,Nov 18 2022,Nov 18 2023,Aug 23 2014,,,
Anne Arundel,81468,Center,Cape Saint Claire Elementary School Age Child Care,Annapolis,21409,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,81458,Center,Crofton Middle School Teen Group,Crofton,21114,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Howard,81409,Center,Glenwood Country Day School,Woodbine,21797,Yes,5,Active,5,3,May 04 2022,May 04 2023,Sep 28 2013,,,MSDE
Harford,81339,Center,Celebree Learning Center - Laurel Bush,Bel Air,21015,Yes,5,Active,5,3,Feb 02 2022,Feb 02 2023,Mar 06 2015,,,MSDE
Baltimore,81330,Center,Play Centers at Stoneleigh Elementary School,Baltimore,21212,Yes,3,Active,3,2,Nov 18 2022,Nov 18 2023,Dec 27 2013,,,
Prince George's,81282,Center,Diane's Day Care,Capitol Heights,20743,Yes,1,Active,1,3,Aug 17 2022,Aug 17 2023,Apr 03 2015,,,
Washington,81246,Family Childcare,Linda Nokes,Williamsport,21795,Yes,1,Active,1,2,Jun 13 2022,Jun 13 2023,Aug 23 2014,,,No Additional Staff
Allegany,81244,Family Childcare,Tiffany Crowe,Cresaptown,21502,Yes,3,Active,3,2,Oct 19 2022,Oct 19 2023,Feb 20 2015,,,No Additional Staff
Saint Mary's,80849,Family Childcare,Barbara Spitzer,Mechanicsville,20659,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Jul 08 2016,,,No Additional Staff
Frederick,80496,Center,KinderCare-000882,Frederick,21703,Yes,4,Active,4,3,May 26 2022,May 26 2023,Sep 28 2013,Accredited Program 2025-05-01,,NAEYC 2025-05-01
Cecil,80331,Family Childcare,Diane Shortall,Elkton,21921,Yes,1,Active,1,2,Aug 02 2022,Aug 02 2023,Nov 08 2013,,,
Prince George's,80243,Family Childcare,Meena Gaafar,Lanham,20706,Yes,2,Active,2,2,Dec 12 2022,Dec 12 2023,Aug 22 2013,,,No Additional Staff
Baltimore,80214,Family Childcare,Frances Johnson,Randallstown,21133,Yes,1,Active,1,2,Aug 04 2022,Aug 04 2023,Dec 02 2013,,,No Additional Staff
Montgomery,80103,Family Childcare,Maria Artola,Rockville,20852,Yes,5,Active,5,2,Jun 21 2022,Jun 21 2023,Dec 04 2012,Health and Wellness  | Quality Business Practices,National Association for Family Child Care (NAFCC) 2023-01-31,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2023-07-31
