County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Baltimore City,109503,Registered Family Home,Joyce Mason,Baltimore,21239,Yes,0,No,,No,,,Aug 26 2015,0,,,,
Baltimore City,109495,Registered Family Home,Yvonne Palmer,Baltimore,21206,Yes,1,Yes,1,Yes,2,Oct 25 2018,Oct 17 2020,0,,,,
Baltimore,109432,Center,Apple Tree Children's Center,Cockeysville,21030,Yes,1,Yes,1,No,3,Oct 25 2018,Jul 14 2020,0,,,,
Baltimore,109417,Center,Rising Sun Educational Learning Center,Baltimore,21207,Yes,1,Yes,1,Yes,3,Oct 25 2018,Feb 08 2020,0,,,,
Baltimore,109415,Registered Family Home,Jeanette Dwyer,Baltimore,21208,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 17 2020,0,,,,
Prince George's,109377,Registered Family Home,Shola Hassan,Riverdale,20737,Yes,3,Yes,3,Yes,2,Dec 12 2018,Oct 20 2020,0,,,,
Cecil,109310,Registered Family Home,Karen Hollenbaugh,Elkton,21921,Yes,1,Yes,1,No,2,Dec 11 2018,Dec 08 2020,0,,,,
Montgomery,109255,Center,Kids After Hours-Meadow Hall,Rockville,20851,Yes,0,Yes,3,Yes,1,Nov 30 2018,Oct 24 2020,0,,,,
Montgomery,109224,Center,Bar T at Spark Matsunaga Elementary School,Germantown,20874,Yes,1,Yes,1,No,3,Oct 25 2018,Apr 11 2020,0,,,,
Baltimore City,109215,Center,Johns Hopkins Child Care & Early,Baltimore,21231,Yes,3,Yes,3,Yes,3,Oct 25 2018,Mar 04 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,109161,Registered Family Home,Gaye Schaum,Millersville,21108,Yes,3,Yes,3,Yes,2,Oct 25 2018,Feb 08 2020,0,,Accredited Program,National Association for Family Child Care (NAFCC) 2021-05-01,NAFCC
Montgomery,109149,Center,KidsCo at  Waterslanding Elementary School,Germantown,20874,Yes,3,Yes,3,Yes,1,Jan 10 2019,Nov 19 2020,0,,,,
