County,License Number,MSDE Program Type,Program Name,City Name,State Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Baltimore,160900,Center,Little People's Educare,Owings Mills,Maryland,21117,Yes,1,Yes,1,No,3,Oct 25 2018,May 27 2020,0,,,,
Montgomery,160893,Center,Circle Time Child Care @Kensington,Kensington,Maryland,20895,Yes,2,Yes,2,No,3,Oct 25 2018,Aug 14 2020,0,,,,
Baltimore City,160890,Registered Family Home,Angela Johnson,Baltimore,Maryland,21229,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 09 2020,0,,,,
Carroll,160884,Center,Almost Family Childcare Center,Hampstead,Maryland,21074,Yes,1,Yes,1,No,3,Dec 12 2018,Dec 08 2020,0,,,,
Washington,255988,Registered Family Home,Shannon Ellsbury,Hagerstown,Maryland,21740,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 21 2020,0,,,,
Frederick,160863,Center,"Spark-a-Smart Daycare Ministry, LLC",Frederick,Maryland,21703,Yes,1,Yes,1,No,3,Oct 25 2018,Feb 21 2020,0,,,,
Caroline,160862,Registered Family Home,Marsha Howard,Denton,Maryland,21629,Yes,2,Yes,2,Yes,2,Jul 30 2019,Sep 26 2020,0,,,,
Prince George's,160850,Large Family Home,Elizabeth Greene,Bowie,Maryland,20720,Yes,1,Yes,1,Yes,2,Oct 25 2018,Oct 06 2020,0,,,,
Garrett,160842,Registered Family Home,Lanita Bender,Oakland,Maryland,21550,Yes,1,Yes,1,No,2,Dec 05 2018,Dec 04 2020,0,,,,
Prince George's,160828,Registered Family Home,Christina Neils,Fort Washington,Maryland,20744,Yes,2,Yes,2,Yes,2,Sep 13 2019,Sep 26 2020,1,Sep 16 2019,,,
Saint Mary's,160806,Center,Potomac Early Learning Center,Lexington Park,Maryland,20653,Yes,1,Yes,1,Yes,3,Oct 25 2018,May 02 2020,0,,,,
Anne Arundel,160803,Center,The Goddard School at Pasadena,Pasadena,Maryland,21122,Yes,4,Yes,4,Yes,3,Dec 11 2018,Dec 12 2020,1,Dec 06 2018,,,MSDE
Baltimore City,160795,Center,Incubed Learning Center,Baltimore,Maryland,21214,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jun 24 2020,0,,,,
Prince George's,160791,Large Family Home,Aisha Tariq,Beltsville,Maryland,20705,Yes,1,Yes,1,No,2,Dec 05 2018,Nov 05 2020,1,Dec 05 2018,,,
Montgomery,160781,Center,Smart-Ed Early Learning Center,Silver Spring,Maryland,20904,Yes,3,Yes,3,No,3,Oct 25 2018,Aug 06 2020,0,,,,
Baltimore,160768,Registered Family Home,Kiane' Peace,Gywnn Oak,Maryland,21207,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 09 2020,2,Sep 05 2019,,,
Prince George's,160744,Registered Family Home,Jeanette Gaynor,Oxon Hill,Maryland,20745,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 14 2020,1,Aug 26 2019,,,
Howard,160733,Registered Family Home,Erica Mack,Columbia,Maryland,21044,Yes,1,Yes,1,No,2,Dec 05 2018,Nov 10 2020,0,,,,
Prince George's,160716,Center,Joe's Movement Emporium,Mount Rainier,Maryland,20712,Yes,1,Yes,1,No,1,Oct 25 2018,Jan 11 2020,0,,,,
Dorchester,160715,Registered Family Home,Capri Taylor,Hurlock,Maryland,21643,Yes,1,Yes,1,No,2,Oct 25 2018,May 21 2020,0,,,,
Baltimore City,160692,Registered Family Home,Stacey Johnson,Baltimore,Maryland,21206,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 11 2020,0,,,,
Garrett,160690,Registered Family Home,Roxanna Umbel,Friendsville,Maryland,21531,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 25 2020,0,,,,
Montgomery,160687,Registered Family Home,Jessica Thomas,Gaithersburg,Maryland,20879,Yes,2,Yes,2,No,2,Jan 07 2019,Dec 29 2020,0,,,,
Baltimore City,160684,Registered Family Home,Shandnita Barnes,Baltimore,Maryland,21225,Yes,1,Yes,1,No,2,Apr 15 2019,Dec 22 2020,0,,,,
Washington,160680,Large Family Home,Karolyn Martin,Hagerstown,Maryland,21740,Yes,3,Yes,3,No,2,Feb 08 2019,Dec 29 2020,0,,,,
Prince George's,160647,Public Pre-K,Concord Elementary,District Heights,Maryland,20747,Yes,5,Yes,5,Yes,1,Oct 25 2018,Apr 30 2020,0,,,,MSDE
Montgomery,160642,Center,Kids Habitat 4,Silver Spring,Maryland,20904,Yes,2,Yes,2,No,3,Apr 30 2019,Aug 20 2020,0,,,,
Prince George's,160641,Center,Mighty Minds Enrichment Center,Landover,Maryland,20785,Yes,3,Yes,3,No,3,Oct 25 2018,Feb 25 2020,0,,,,
Prince George's,160632,Public Pre-K,Allenwood Elementary,Camp Springs,Maryland,20748,Yes,4,Yes,4,Yes,1,Oct 25 2018,Jun 25 2020,0,,,,MSDE
Prince George's,160620,Center,Seat Pleasant Activity Center (SACC),Seat Pleasant,Maryland,20743,Yes,1,Yes,1,Yes,1,Oct 25 2018,Mar 17 2020,0,,,,
Baltimore,160617,Registered Family Home,Tonya Tilghman,Parkville,Maryland,21234,Yes,2,Yes,2,No,2,Oct 25 2018,Feb 08 2020,0,,,,
Baltimore City,160615,Registered Family Home,Tia Trayham,Baltimore,Maryland,21225,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 16 2020,0,,,,
Prince George's,160613,Public Pre-K,District Heights Elementary,District Heights,Maryland,20747,Yes,5,Yes,5,Yes,1,Oct 25 2018,Jan 25 2020,0,,,,MSDE
Calvert,160611,Registered Family Home,Wendy Wood,Prince Frederick,Maryland,20678,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 11 2020,0,,,,
Prince George's,160610,Public Pre-K,North Forestville Elementary,Forestville,Maryland,20747,Yes,5,Yes,5,Yes,1,Oct 25 2018,May 14 2020,0,,,,MSDE
Calvert,160608,Registered Family Home,Norma Welch,Lusby,Maryland,20657,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 11 2020,0,,,,
Baltimore City,160607,Registered Family Home,Ivory Hankins,Baltimore,Maryland,21229,Yes,2,Yes,2,No,2,Oct 25 2018,Jan 25 2020,0,,,,
Howard,160604,Registered Family Home,Charleen Gibson,Columbia,Maryland,21044,Yes,2,Yes,2,Yes,2,Oct 25 2018,Jan 11 2020,0,,,,
Baltimore,160592,Registered Family Home,Dorothy Brown Dorsey,Baltimore,Maryland,21244,Yes,3,Yes,3,Yes,2,Oct 25 2018,Jul 16 2020,0,,,,
Baltimore City,160587,Registered Family Home,Tahirah Williams,Baltimore,Maryland,21206,Yes,2,Yes,2,Yes,2,Oct 25 2018,Mar 04 2020,0,,,,
Montgomery,160584,Registered Family Home,Monica Braden,Silver Spring,Maryland,20902,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 26 2020,0,,,,
Baltimore City,160583,Registered Family Home,Kimberly Brice,Baltimore,Maryland,21206,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 18 2020,0,,,,
Montgomery,160582,Registered Family Home,Lindaleia Ratra,Gaithersburg,Maryland,20879,Yes,3,Yes,3,No,2,Oct 25 2018,Feb 08 2020,0,,,,
Queen Anne's,160572,Registered Family Home,Stacey Lowery,Queen Anne,Maryland,21657,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 23 2020,0,,,,
Prince George's,160571,Registered Family Home,Tonya Jones,Fort Washington,Maryland,20744,Yes,2,Yes,2,Yes,2,Oct 25 2018,Mar 07 2020,0,,,,
Prince George's,160564,Center,Li Li's Child Care Center,Temple Hills,Maryland,20748,Yes,2,Yes,2,Yes,1,Oct 25 2018,Jul 11 2020,0,,,,
Montgomery,160562,Center,Nanda Childcare Center,Rockville,Maryland,20850,Yes,3,Yes,3,No,3,Oct 25 2018,Apr 18 2020,0,,,,
Baltimore,160531,Center, Saint Ursula School and Extended Day,Baltimore,Maryland,21234,Yes,2,Yes,2,Yes,3,Apr 12 2019,Apr 25 2020,1,Feb 13 2019,,,AdvancED
Anne Arundel,160530,Registered Family Home,Tomika Robertson,Edgewater,Maryland,21037,Yes,2,Yes,2,Yes,2,Oct 25 2018,Jan 25 2020,0,,,,
Baltimore,160524,Registered Family Home,Keri Shaner,Catonsville,Maryland,21228,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 28 2020,0,,,,
Baltimore City,160523,Center,Learn Laugh N Grow Child Care Llc,Baltimore,Maryland,21201,Yes,1,Yes,1,Yes,3,Oct 25 2018,Sep 10 2020,0,,,,
Howard,160510,Registered Family Home,Mounia Gaston,Columbia,Maryland,21045,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 10 2020,0,,,,MSDE
Prince George's,160507,Public Pre-K,Rose Valley Elementary,Clinton,Maryland,20735,Yes,5,Yes,5,Yes,1,Oct 25 2018,Mar 25 2020,0,,,,MSDE
